x y z radius WUSRNA WUSNuc_WS WUSCyto CLV3Sig1 CLV3_Peptide StochasticTimeOverFlow CLV3Sig2 MarkerOverFlow Monomer Dimer MonomerMarker DimerMarker ckReceptor ckLigand ckComplex WExport neighbors?
3.50491 -6.40994 0.462073 0.830462 0 0.18476 0.265376 0 0.0664748 0 0 0 0 0 0 0 0 28.3693 0 0 6
5.81324 4.23921 5.59555 0.725014 0 1.10359 1.53474 0 0.262179 0 0 0 0 0 0 0 0 27.8324 0 0 9
-4.23907 5.20711 6.40601 0.810861 0 1.94113 2.55376 0 0.44201 0 0 0 0 0 0 0 0 27.5566 0 0 10
1.65397 -1.98168 8.72647 0.850143 0 65.9952 20.5124 1.63978 8.9633 0 144.55 0 0 4 0 0 0 25.8575 0 0 12
2.7828 6.00006 3.14449 0.875685 0 0.741792 1.0651 0 0.144766 0 0 0 0 0 0 0 0 27.991 0 0 14
-1.11772 0.109447 2.80069 0.82565 0 29.9914 11.7151 0 0.373238 0 0 0 1 3 0 0 5 24.1512 25 0 15
8.17239 3.38233 2.33793 0.812706 0 0.177209 0.253856 0 0.0687921 0 0 0 0 0 0 0 0 28.4209 0 0 9
3.1812 5.47118 6.78087 0.80735 0 2.7671 3.47866 0 0.554262 0 0 0 0 0 0 0 0 27.4289 0 0 8
-3.60034 -0.272033 6.22835 0.753804 0 83.7468 32.2936 0 1.30032 0 0 0 1 2 0 0 5 25.2217 25 0 14
-2.05251 -4.5464 3.80713 0.8882 0 2.44493 3.51224 0 0.278124 0 0 0 0 0 0 0 0 27.3178 0 0 15
-1.85163 -3.0878 2.23688 0.801287 0 2.35894 3.38848 0 0.208498 0 0 0 0 0 0 0 0 26.9078 0 0 13
-3.22381 -5.62933 5.0006 0.803303 0 1.32328 1.83541 0 0.268849 0 0 0 0 0 0 0 0 27.7598 0 0 13
-4.54173 -3.83197 7.17233 0.877633 0 3.70571 4.37084 0 0.677093 0 0 0 0 0 0 0 0 27.2074 0 0 8
1.03396 4.84194 2.40886 0.767619 0 1.35481 1.94557 0 0.160889 0 0 0 1 0 0 0 0 27.5252 0 0 14
-1.8947 3.57185 2.61653 0.793736 0 2.69725 3.87362 0 0.219168 0 0 0 1 0 0 0 0 26.8833 0 0 12
5.80806 4.14426 4.3502 0.741738 0 0.731148 1.03479 0 0.174887 0 0 0 0 0 0 0 0 28.0077 0 0 13
-0.289521 2.23723 2.74943 0.849369 0 23.0567 9.01148 0 0.316766 0 0 0 3 1 0 0 5 24.9666 25 0 14
6.41939 3.14539 4.32205 0.715845 0 0.779688 1.10315 0 0.177269 0 0 0 0 0 0 0 0 27.9894 0 0 12
-0.05278 -4.99173 0.915679 0.843515 0 0.8367 1.20187 0 0.12522 0 0 0 0 0 0 0 0 27.62 0 0 9
-4.91575 -1.78257 6.28289 0.71297 0 5.80208 6.82162 0 0.686192 0 0 0 1 0 0 0 0 27.0201 0 0 13
