x y z radius WUSRNA WUSNuc_WS WUSCyto CLV3Sig1 CLV3_Peptide StochasticTimeOverFlow CLV3Sig2 MarkerOverFlow Monomer Dimer MonomerMarker DimerMarker ckReceptor ckLigand ckComplex WExport neighbors?
3.50491 -6.40994 0.462073 0.830462 0 0.00923799 0.0132688 0 0.0528337 0 0 0 0 0 0 0 0 28.3693 0 0 6
5.81324 4.23921 5.59555 0.725014 0 0.0551793 0.0767372 0 0.202319 0 0 0 0 0 0 0 0 27.8324 0 0 9
-4.23907 5.20711 6.40601 0.810861 0 0.0970563 0.127688 0 0.314373 0 0 0 0 0 0 0 0 27.5566 0 0 10
1.65397 -1.98168 8.72647 0.850143 0 3.29976 1.02562 1.27986 6.53005 0 110.6 0 1 1 0 0 0 25.8575 0 0 12
2.7828 6.00006 3.14449 0.875685 0 0.0370896 0.0532551 0 0.113002 0 0 0 0 0 0 0 0 27.991 0 0 14
-1.11772 0.109447 2.80069 0.82565 0 1.49957 0.585754 0 0.275542 0 0 0 0 0 0 0 5 24.1512 25 0 15
8.17239 3.38233 2.33793 0.812706 0 0.00886047 0.0126928 0 0.0554016 0 0 0 0 0 0 0 0 28.4209 0 0 9
3.1812 5.47118 6.78087 0.80735 0 0.138355 0.173933 0 0.418382 0 0 0 0 0 0 0 0 27.4289 0 0 8
-3.60034 -0.272033 6.22835 0.753804 0 4.18734 1.61468 0 0.955094 0 0 0 2 1 0 0 5 25.2217 25 0 14
-2.05251 -4.5464 3.80713 0.8882 0 0.122247 0.175612 0 0.204492 0 0 0 0 0 0 0 0 27.3178 0 0 15
-1.85163 -3.0878 2.23688 0.801287 0 0.117947 0.169424 0 0.155143 0 0 0 0 0 0 0 0 26.9078 0 0 13
-3.22381 -5.62933 5.0006 0.803303 0 0.0661641 0.0917706 0 0.197783 0 0 0 0 0 0 0 0 27.7598 0 0 13
-4.54173 -3.83197 7.17233 0.877633 0 0.185285 0.218542 0 0.494034 0 0 0 0 0 0 0 0 27.2074 0 0 8
1.03396 4.84194 2.40886 0.767619 0 0.0677403 0.0972785 0 0.123924 0 0 0 0 0 0 0 0 27.5252 0 0 14
-1.8947 3.57185 2.61653 0.793736 0 0.134862 0.193681 0 0.163073 0 0 0 0 0 0 0 0 26.8833 0 0 12
5.80806 4.14426 4.3502 0.741738 0 0.0365574 0.0517397 0 0.136574 0 0 0 0 0 0 0 0 28.0077 0 0 13
-0.289521 2.23723 2.74943 0.849369 0 1.15283 0.450574 0 0.236418 0 0 0 4 1 0 0 5 24.9666 25 0 14
6.41939 3.14539 4.32205 0.715845 0 0.0389844 0.0551576 0 0.137618 0 0 0 0 0 0 0 0 27.9894 0 0 12
-0.05278 -4.99173 0.915679 0.843515 0 0.041835 0.0600937 0 0.0957304 0 0 0 0 0 0 0 0 27.62 0 0 9
-4.91575 -1.78257 6.28289 0.71297 0 0.290104 0.341081 0 0.50107 0 0 0 0 0 0 0 0 27.0201 0 0 13
-7.81222 2.42985 4.11853 0.769003 0 0.0222897 0.0317705 0 0.0912689 0 0 0 0 0 0 0 0 28.2252 0 0 8
0.554098 -3.56915 1.17527 0.859472 0 0.0738795 0.106123 0 0.119938 0 0 0 0 0 0 0 0 26.9951 0 0 10
-2.3579 6.40002 5.95347 0.762863 0 0.072819 0.0991541 0 0.251206 0 0 0 0 0 0 0 0 27.6995 0 0 9
4.14266 6.18104 5.48122 0.809251 0 0.0466242 0.0652649 0 0.181938 0 0 0 0 0 0 0 0 27.9154 0 0 8
5.89754 -2.84165 0.72056 0.738428 0 0.0163189 0.0234377 0 0.0626407 0 0 0 0 0 0 0 0 28.1643 0 0 8
-3.99452 -3.4352 3.06048 0.71218 0 0.075939 0.109076 0 0.143171 0 0 0 0 0 0 0 0 27.5668 0 0 10
