x y z radius WUSRNA WUSNuc_WS WUSCyto CLV3Sig1 CLV3_Peptide StochasticTimeOverFlow CLV3Sig2 MarkerOverFlow Monomer Dimer MonomerMarker DimerMarker ckReceptor ckLigand ckComplex WExport neighbors?
0.842816 5.46549 4.60458 0.782811 0 0.730981 3.65483 0 0.0426723 0 0 0 0 0 0 0 0 27.3738 0 0 14
5.25846 1.0793 5.13486 0.705933 0 1.1765 5.88224 0 0.0599629 0 0 0 0 0 0 0 0 27.1974 0 0 13
-3.36889 -0.086953 8.65484 0.882655 0 9.09014 44.6977 0 0.554102 0 0 0 0 0 0 0 0 26.0409 0 0 9
-3.35148 0.911564 3.49353 0.736797 0 2.14939 10.7459 0 0.0409028 0 0 0 0 0 0 0 0 25.9761 0 0 10
3.49051 3.05905 7.82724 0.882163 0 3.87802 19.3142 0 0.26911 0 0 0 0 0 0 0 0 26.6529 0 0 12
2.96546 2.96485 1.29282 0.708901 0 0.243287 1.21642 0 0.0182282 0 0 0 0 0 0 0 0 27.3159 0 0 9
-2.99693 -4.04557 0.759205 0.756028 0 0.107616 0.538076 0 0.0128265 0 0 0 0 0 0 0 0 27.8057 0 0 6
3.82884 -3.02296 7.78059 0.824322 0 2.8609 14.2741 0 0.197677 0 0 0 0 0 0 0 0 26.7816 0 0 10
2.17402 6.74892 5.75316 0.758942 0 0.360239 1.80098 0 0.0448402 0 0 0 0 0 0 0 0 27.7088 0 0 10
0.505379 -4.20747 5.58433 0.753188 0 3.61861 18.0881 0 0.0963488 0 0 0 0 0 0 0 0 26.2344 0 0 11
0.012431 -8.35208 3.83781 0.864896 0 0.0486004 0.242998 0 0.012497 0 0 0 0 0 0 0 0 28.2735 0 0 9
5.6829 -6.61384 2.60304 0.785891 0 0.0257463 0.128729 0 0.00848236 0 0 0 0 0 0 0 0 28.3861 0 0 9
-3.4782 -6.16435 5.9586 0.793744 0 0.283086 1.41533 0 0.0352085 0 0 0 0 0 0 0 0 27.7477 0 0 8
0.322955 4.24236 8.00429 0.740425 0 4.40893 21.9399 0 0.296121 0 0 0 0 0 0 0 0 26.5367 0 0 10
2.13153 5.96315 6.66062 0.784245 0 0.756053 3.77892 0 0.0810829 0 0 0 0 0 0 0 0 27.4097 0 0 10
4.51531 4.69543 1.31854 0.719151 0 0.0645913 0.322952 0 0.0110686 0 0 0 0 0 0 0 0 28.0935 0 0 10
-5.89461 -1.56222 3.90223 0.743934 0 0.275373 1.37686 0 0.0223014 0 0 0 0 0 0 0 0 27.8235 0 0 11
-1.67672 -5.83461 6.97602 0.899798 0 0.776055 3.87926 0 0.0696106 0 0 0 0 0 0 0 0 27.3367 0 0 9
6.39967 -4.64543 1.60666 0.818509 0 0.0275546 0.13777 0 0.00788344 0 0 0 0 0 0 0 0 28.367 0 0 14
-3.09632 -8.17942 2.73131 0.760007 0 0.0216755 0.108377 0 0.00864905 0 0 0 0 0 0 0 0 28.4351 0 0 9
